gene,M,Sp,R,S,n_cells,n_guides
NUP50-AS1,12.41244888305664,0.10949434340000153,0.3920776678878886,0.017678603529930115,273,3
P2RX4,16.462934494018555,0.14020860195159912,0.26391966019833984,0.22008545696735382,136,3
PABPC1,22.309978485107422,0.18683692812919617,0.42834241668360323,0.03982292860746384,84,2
PAICS,20.115819931030273,0.1713123470544815,0.33746118843384454,0.0006986400694586337,102,3
PET100,16.370189666748047,0.139749675989151,0.33131921195850483,0.054876744747161865,146,3
PFDN4,11.782947540283203,0.10620329529047012,0.28769188382162464,0.1666247546672821,284,3
PFN1,18.440580368041992,0.15427908301353455,0.3258248323799426,0.3361694812774658,124,3
PIK3IP1,16.968664169311523,0.15417972207069397,0.10636060292226222,0.5426436066627502,229,3
POLD2,30.244966506958008,0.26073282957077026,-0.14874069410133317,0.5426338911056519,69,2
PPA1,25.925321578979492,0.22309722006320953,0.2923626691877868,0.33242374658584595,56,2
PPIA,12.72506046295166,0.11256033927202225,0.282321572028688,0.2513248026371002,244,3
PRELID3B,27.680517196655273,0.23157645761966705,0.3039478986726684,0.11254307627677917,46,2
PROS1,14.714988708496094,0.1317373365163803,0.14833189016977236,0.5087376236915588,199,3
PSAP,13.609918594360352,0.12605200707912445,0.10714638790192775,0.4986129105091095,330,3
PSMB8-AS1,14.552895545959473,0.13169583678245544,0.19098168214431135,0.4369683563709259,225,3
PTMA,14.25207805633545,0.12346414476633072,0.40105562342836615,0.3167789578437805,226,3
PUF60,18.086265563964844,0.1551797091960907,0.38364523182211935,0.15417246520519257,109,2
PYGB,13.23199462890625,0.11673663556575775,0.32647253671824855,0.11897742003202438,230,3
RAB27A,12.634013175964355,0.11405126750469208,0.3793806005334566,0.12142129987478256,268,3
RB1,14.071476936340332,0.12751786410808563,0.3292774226143525,0.36821070313453674,289,3
RBP7,12.259001731872559,0.11068011075258255,0.3195437334294831,0.29659196734428406,300,3
RNASEH2A,17.54743003845215,0.15504617989063263,0.3703869367303243,0.3678837716579437,157,3
RNF213,12.476062774658203,0.10825130343437195,0.32379124024716227,0.17221635580062866,260,3
ROMO1,23.352386474609375,0.19920049607753754,0.324570524446352,0.16233345866203308,68,3
RPSA,16.211336135864258,0.13992618024349213,,0.25692179799079895,142,1
RRS1,21.836963653564453,0.19016417860984802,0.1685690283888723,0.533298134803772,90,2
RTP4,10.93437671661377,0.09624025225639343,0.35970992000938184,0.0014849199214950204,332,3
S100A6,14.000965118408203,0.12621736526489258,0.13824934149476883,0.5251169800758362,249,3
S100B,13.044242858886719,0.11725842207670212,0.1555343662451996,0.42481645941734314,277,3
SAE1,31.41208839416504,0.26504454016685486,0.3422918950595954,0.335983008146286,38,2
SAT1,13.868884086608887,0.12214844673871994,0.3919906862486194,0.11071024090051651,218,3
SCARB2,14.290382385253906,0.13083770871162415,0.2713200886260305,0.36887237429618835,251,3
SDC3,11.670659065246582,0.106934554874897,0.2409800417267726,0.3444948196411133,317,3
SDCBP,12.977947235107422,0.11637181788682938,0.37317938403083817,0.10883396863937378,259,3
SEC11C,12.551224708557129,0.11057784408330917,0.3527878539215233,0.031692713499069214,252,3
SERPINA3,13.061606407165527,0.11252107471227646,0.364125887043967,0.08289965242147446,232,3
SERPINE2,13.678459167480469,0.11962004750967026,0.3866167156205282,0.026148566976189613,226,3
SERPINF1,12.622971534729004,0.11081235110759735,0.3152791403329343,0.06475930660963058,241,3
SET,18.790067672729492,0.17045989632606506,0.14917429623164943,0.7084448337554932,196,3
SGK1,12.441898345947266,0.11137272417545319,0.32851664433182654,0.15916724503040314,262,3
SHMT2,13.544990539550781,0.1170005202293396,0.34049085255068223,0.02081550844013691,203,3
SINHCAF,18.165597915649414,0.16189821064472198,0.10532975871568888,0.4930129647254944,173,3
SLC19A1,14.261213302612305,0.12454228103160858,0.3267247724828145,0.20025746524333954,198,3
SLC22A18,13.335992813110352,0.12399771064519882,0.0654995223498178,0.4150518774986267,355,3
SLC25A13,11.91018009185791,0.10604249686002731,0.35968819981615346,0.10587356984615326,269,3
SLC26A2,12.912452697753906,0.11746157705783844,0.2923780513314122,0.16338831186294556,263,3
SLC5A3,11.84675121307373,0.10531041771173477,0.34805771903717053,0.11639715731143951,271,3
SLC7A5P1,13.403165817260742,0.12012474983930588,0.22037442855663936,0.39494895935058594,260,3
SLIRP,14.994424819946289,0.12738730013370514,0.3240372865721201,0.053582582622766495,169,3
SMAD3,12.913453102111816,0.11551585048437119,0.43054645152946264,0.04859507828950882,271,3
SMAD4,12.8107328414917,0.11298950761556625,0.34586259701356536,0.11886996775865555,274,3
SNHG6,13.892244338989258,0.12074074149131775,0.3585987297132678,0.013977102935314178,202,3
SNRPG,30.426239013671875,0.2604018747806549,,0.290648490190506,38,1
SOX4,15.153594970703125,0.1386348009109497,0.1253112610926936,0.485036700963974,262,3
SP100,13.103669166564941,0.11669737845659256,0.3726866728896286,0.09016408771276474,232,3
SPESP1,13.084949493408203,0.11727194488048553,0.3338178634733036,0.22062815725803375,247,3
SPINT1,14.146130561828613,0.12753050029277802,0.32647272720796244,0.25275662541389465,228,3
SSR2,15.47364616394043,0.13822588324546814,0.4352513807457606,0.21218350529670715,194,3
ST3GAL6-AS1,13.766403198242188,0.12347936630249023,0.2542327442275737,0.3983592689037323,258,3
ST6GALNAC2,13.65470027923584,0.11915832757949829,0.3316445554578117,0.09745185077190399,200,3
STAT1,28.132427215576172,0.25629812479019165,0.8098210229963897,0.9045346975326538,209,3
STAT3,15.062074661254883,0.13008832931518555,0.42785164304124423,0.11825486272573471,213,3
STOM,11.645496368408203,0.10141295194625854,0.38559390888661477,0.08241628855466843,275,3
STX7,13.314949989318848,0.11509019136428833,0.4145699846717083,0.16106034815311432,247,3
TAPBP,13.551324844360352,0.12038809806108475,0.37796478063219513,0.04260752722620964,220,3
TAPBPL,13.298813819885254,0.1167205199599266,0.4231824598562506,0.08998237550258636,245,3
TFAP2A,14.01303482055664,0.12581387162208557,0.2875777497675858,0.4756982624530792,242,3
TGFB1,12.551331520080566,0.10896743088960648,0.3978026646617572,0.06392297148704529,263,3
TIMM50,17.606355667114258,0.14782299101352692,0.24172246527963223,0.37986475229263306,127,3
TIMP1,13.490976333618164,0.11900635808706284,0.3763104809235498,0.10474838316440582,229,3
TIMP2,14.248787879943848,0.12598489224910736,0.2874616048038194,0.09924299269914627,189,3
TIMP3,14.241462707519531,0.1246359571814537,0.3852858258894516,0.14998690783977509,185,3
TM4SF1,13.423164367675781,0.11671072989702225,0.40570312292482974,0.04536687582731247,223,3
TMED10,27.204383850097656,0.2334238588809967,0.4596475242093952,0.07243479788303375,66,3
TMEM173,13.571423530578613,0.11914511024951935,0.3898780347333172,0.11575724929571152,216,3
TOP1MT,14.411738395690918,0.1200607642531395,0.28324247691724774,0.4430660009384155,201,3
TP53,13.422588348388672,0.11702462285757065,0.37702751236698306,0.20567286014556885,221,3
TPP1,12.870527267456055,0.11322097480297089,0.3718723603985865,0.054990872740745544,218,3
TPRKB,28.921489715576172,0.24409180879592896,0.34423057040649613,0.1515265554189682,50,2
TRIM22,14.36363410949707,0.1255342662334442,0.37394446246260155,0.0037303378339856863,178,3
TSC22D3,13.391925811767578,0.11865007132291794,0.40516790459730934,0.04378347843885422,239,3
TTLL1,12.679998397827148,0.1077732965350151,0.33728369848329653,0.3435007929801941,265,3
