gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
NPL,3.5355520248413086,0.13203607499599457,-0.020645659416913986,0.3083213269710541,127,False,
XKR6,3.74635648727417,0.006378558464348316,-0.0447930209338665,0.03157026693224907,129,False,
NFKB1,5.578376293182373,0.09691914916038513,0.08118312805891037,1.1518404483795166,70,True,0.6859296482412061
MALT1,4.552061080932617,0.015620492398738861,-0.23366960883140564,0.18252448737621307,112,False,
DMD,4.780839443206787,0.004190495703369379,-0.10273035615682602,0.009199289605021477,90,True,0.04606365159128978
JAZF1,4.2722086906433105,0.16577373445034027,0.21793913841247559,0.03373093158006668,156,False,
ZNRD1,4.735128879547119,0.0033338088542222977,-0.14766481518745422,0.1462143212556839,70,True,0.04103852596314908
YEATS4,5.3068528175354,0.03129149600863457,0.25042372941970825,0.15328340232372284,130,True,0.6122278056951423
CTBP1,5.498878479003906,0.0899900421500206,0.21764245629310608,0.244358092546463,90,True,0.7964824120603016
PRKCH,4.873447895050049,0.06776668131351471,-0.1613822877407074,0.05107175186276436,63,True,0.3065326633165829
SAMD9,5.964480876922607,0.09091123938560486,-0.0022806357592344284,1.1255230903625488,67,True,0.45058626465661644
ERBB2,4.097337245941162,0.03630394861102104,-0.05599072575569153,0.007230089511722326,127,False,
A4GALT,5.620694160461426,0.007124552968889475,0.03697260841727257,0.03385068476200104,68,True,0.2512562814070352
SHARPIN,4.788829326629639,0.029494665563106537,-0.010579953901469707,0.36077290773391724,67,True,0.304857621440536
KRAS,4.56974983215332,0.13527217507362366,0.042776960879564285,0.14836058020591736,108,False,
