gene,M_prot,S_prot,surf_shift,n_cells,M_rna,S_rna,C_rna,detectable,is_pos
MC1R,0.1633691761752871,0.23512583154549338,-0.006464993796384877,291,8.778883934020996,0.1676089018583297,,False,False
MDH2,0.21947017790528425,0.19303084453014996,0.023770685023110156,220,9.599652290344238,0.0532266497611999,0.6428571428571428,True,False
MFGE8,0.11014670966609273,0.011815904466736856,-0.005156777143210685,424,8.14459228515625,0.1769607216119766,,False,False
MIA,0.12253758933922432,0.14615760610368383,0.012173818175532166,310,8.581835746765137,0.031593695282936,,False,False
MRPL47,0.28001294161718693,0.020754466860104338,0.020523570232224658,166,11.147263526916504,0.1307267546653747,0.7605042016806722,True,False
MT2A,0.1763740108912451,0.3007612633929381,-0.01581242000714204,211,11.00684928894043,0.0043106488883495,0.1470588235294117,True,False
MYC,0.5786337954147714,0.33903063743882345,0.07978222304645599,68,18.33380699157715,0.2598761916160583,0.8235294117647058,True,False
NACA,0.5550114526333824,0.10810098556430381,0.07623209864772829,42,22.55556869506836,0.2069607228040695,0.7142857142857143,True,False
NCL,0.4008012036293248,0.4351786360296456,0.062348528091137445,74,15.34542751312256,0.1726220846176147,0.6092436974789915,True,False
NDUFA13,0.18539702941992203,0.040679012877081436,-0.014895100533597364,153,11.40292739868164,0.153452530503273,0.7142857142857143,True,False
NEAT1,0.1878260804706749,0.5708703996659115,0.05203997352363358,256,9.851192474365234,0.1893370449542999,0.6974789915966386,True,False
NGFR,0.17309626618108012,0.3839252445645106,0.03411234875793715,239,8.325998306274414,0.330176442861557,,False,False
NME1,0.24714907059974925,0.06595795726761541,-0.004295154908072678,263,8.499543190002441,0.1175091788172721,,False,False
NMRK1,0.2053691618207046,0.07373518245615548,0.005744730863066668,290,8.473922729492188,0.0939364060759544,,False,False
NOLC1,0.2542629541469537,0.43912108509234954,-0.05571104291134873,108,11.85874080657959,0.0412018187344074,0.2941176470588235,True,False
NONO,0.2655295484206744,0.6900533995652675,0.056229374195398606,231,10.546581268310549,0.1165566220879554,0.7815126050420168,True,False
NPC1,0.23656349509704777,0.3130694057982099,-0.021578682235882957,320,11.409499168395996,0.0008712586713954,0.3277310924369748,True,False
NPC2,0.24247445918105007,0.2257515876800899,0.020083001016927577,286,8.3639497756958,0.1624397486448288,,False,False
NSG1,0.130886806685517,0.23891721710905167,-0.020371184269183124,292,8.33530330657959,0.192346841096878,,False,False
NT5E,0.11742539655508238,0.309146213652679,0.006964586072336705,358,6.955708980560303,0.0987830385565757,,False,False
NUP50-AS1,0.1849570192652202,0.43856443945474644,0.04385998419878401,273,8.816751480102539,0.3454151749610901,,False,False
P2RX4,0.21164588243786264,0.2011254575755066,-0.031113802782129312,136,11.568887710571287,0.0544627606868743,0.3025210084033613,True,False
PABPC1,0.43897703403585403,0.29907251561732423,-0.06030658764037374,84,16.038198471069336,0.0593203008174896,0.4873949579831932,True,False
PAICS,0.41050680742622236,0.10715508134939984,-0.050138591391004995,102,13.884371757507324,0.1492856442928314,0.680672268907563,True,False
