gene,magnitude,S,R,n_de,base_expr,n_cells,n_wells,detectable,S_resid,R_resid,C
HNRNPC,12.96017837524414,0.14169619977474213,0.3553766713448641,0,5.186334609985352,72,3,True,13.327431989745051,-3.613160518444687,0.5672268907563025
HSPA1A,9.019152641296387,0.12293679267168045,0.40722995452853983,1,3.4632253646850586,239,3,False,,,
IDH2,9.662376403808594,0.05700011923909187,-0.025790709314250208,0,0.9656680226325989,321,3,True,-21.987124341261946,-24.5712861415753,0.3025210084033613
IDI2-AS1,8.379948616027832,0.05141904205083847,0.35066629977032754,0,0.007216458674520254,273,3,False,,,
IFNGR1,15.004776954650879,0.9183840155601501,0.47302696293119073,28,2.1388368606567383,302,3,True,50.32421307506054,33.779661016949134,0.8739495798319328
IFNGR2,14.554086685180664,0.9324222803115845,0.477596037789974,26,2.86361026763916,401,3,True,53.82501780373167,37.68145563310068,0.9033613445378151
ILF2,15.872384071350098,0.1946130394935608,0.37581515643390917,0,5.463649272918701,56,3,True,31.65647343683237,-5.422731804586263,0.6302521008403361
IRF3,9.80311393737793,0.02283831313252449,0.24235699197859598,0,2.868830680847168,266,3,True,-37.48953852727533,-7.276669990029937,0.31512605042016806
IRF4,8.781904220581055,0.013939311727881432,0.12460462398972823,0,0.0009010558715090156,229,3,False,,,
ISYNA1,9.22333812713623,0.012381225824356079,0.33388281759939525,0,0.8201428651809692,191,3,False,,,
ITGA3,8.252640724182129,0.01940101385116577,0.4310468709877986,1,4.61899995803833,256,3,False,,,
JAK1,15.409534454345703,0.9048663377761841,0.55531773218671,31,2.6360278129577637,342,3,True,48.990343255946456,45.178464606181436,0.9159663865546219
JAK2,14.412513732910156,0.9230846166610718,0.43516521246033063,28,0.3436318635940552,373,3,True,51.99195271328871,26.982053838484532,0.8571428571428572
JMJD7,7.19666051864624,0.15635529160499573,0.4223769221243749,0,0.000580409774556756,306,3,False,,,
JPT1,9.498420715332031,0.11459432542324066,0.39069697893331096,1,5.556450366973877,177,3,True,13.181420025637358,29.53290129611164,0.7016806722689075
KCNN4,7.883513450622559,0.27631866931915283,0.4514030689199346,0,0.8142126798629761,271,3,False,,,
KDR,8.295180320739746,0.07767773419618607,0.3522444647001437,0,0.06752355396747589,277,3,False,,,
KLF4,8.941033363342285,0.1334892213344574,0.3773005774450476,0,0.3637516498565674,243,3,False,,,
LAMP2,7.873937606811523,0.17899024486541748,0.3998291582634638,1,2.3255133628845215,279,3,False,,,
LCP1,7.811679840087891,0.12023085355758667,0.48958246834189634,0,0.10339169949293137,293,3,False,,,
LEF1-AS1,7.713508129119873,0.18826161324977875,0.42045599983200727,0,0.7160598635673523,286,3,False,,,
LGALS3,8.154508590698242,0.3710787296295166,0.450202959750521,1,6.103574752807617,215,3,False,,,
LGALS3BP,8.444055557250977,0.14830869436264038,0.34399744323430026,0,5.3149614334106445,215,3,False,,,
