gene,ISCI_core,p_value,q_value
ERCC1,0.9465147194463681,0.024975024975024976,0.9681849681849682
CLPP,0.9464906748240781,0.01898101898101898,0.9681849681849682
NDUFA8,0.9464736314815103,0.022977022977022976,0.9681849681849682
LITAF,0.9461982761093342,0.013986013986013986,0.9681849681849682
RHOF,0.9459992968547627,0.014985014985014986,0.9681849681849682
PRRC2A,0.945799757472426,0.022977022977022976,0.9681849681849682
SMIM15,0.9456808872392349,0.01998001998001998,0.9681849681849682
COX15,0.9455648402104433,0.02197802197802198,0.9681849681849682
SGF29,0.9450999954675758,0.011988011988011988,0.9681849681849682
SMARCA5,0.9450447688167817,0.022977022977022976,0.9681849681849682
UBE2J1,0.9449608514868332,0.017982017982017984,0.9681849681849682
UBLCP1,0.9446783300802429,0.02097902097902098,0.9681849681849682
